Dataset,Seed,n_classes,total_eps,flat_LR_bal_acc,flat_LR_auprc,flat_LR_MIA,flat_LR_MIA_rf,flat_LR_AIA,flat_RF_bal_acc,flat_RF_MIA_rf,dpgbc_bal_acc,dpgbc_mlp_bal_acc,dpgbc_MIA,dpgbc_MIA_rf,dpgbc_AIA,boundary_rate,MIA_positive_control,dplc_bal_acc,dplc_auprc,dplc_MIA,dplc_MIA_rf,dplc_mean_radius,class_collapse
Segment,456,7,3.0,0.030303030303030304,0.20931132905021843,0.5013818724393864,0.9000206143063285,,0.05194805194805195,0.9000206143063285,0.3174603174603174,0.46464646464646464,0.4968846518011639,0.5030680513055281,,0.75,0.5732347773164099,0.4343434343434343,0.5699685453135811,0.4990705714267866,0.5030680513055281,2.0110156687617664,0
Segment,789,7,3.0,0.21645021645021645,0.1809767384010616,0.5165851464552763,0.5010766736184176,,0.14862914862914864,0.5010766736184176,0.3593073593073593,0.35353535353535354,0.47743848949785866,0.5078013102131842,,0.75,0.5857871943215172,0.3261183261183261,0.5868757295822691,0.5032527769076934,0.5078013102131842,2.009380131979701,0
Segment,101,7,3.0,0.126984126984127,0.2367161040124937,0.49787565557509894,0.18079996002073923,,0.14285714285714285,0.18079996002073923,0.23665223665223664,0.2554112554112554,0.4972581187794545,0.49852888813927776,,0.875,0.6010801539558497,0.3896103896103896,0.5314586173258249,0.4982433219910029,0.49852888813927776,1.9998508224748912,0
Spambase,42,2,3.0,0.5,0.515645003539595,0.49813158616719366,0.37498054789714896,0.0,0.5,0.37498054789714896,0.5,0.5,0.5007763975155279,0.49789962265169274,0.0,0.875,0.6349639742557603,0.5,0.7767634546080505,0.4915358615819844,0.49789962265169274,3.729240388309731,0
Spambase,123,2,3.0,0.5,0.6760013075733384,0.4996247880507868,0.584403911109512,0.0,0.5,0.584403911109512,0.5370864519642983,0.5444393931407688,0.49833937510400683,0.5143215826140928,-0.997103548153512,0.4,0.6167172271420925,0.5260570401995923,0.8252777671731746,0.49159275617182613,0.5143215826140928,3.721384813646547,0
Spambase,456,2,3.0,0.5,0.6917498242651281,0.4986390274398334,0.9218306565140932,0.0,0.5874633231428772,0.9218306565140932,0.5027573529411765,0.5073979636657531,0.5003126953643279,0.4942427397556006,-0.002896451846488013,0.75,0.6407280933341128,0.5,0.5838806857018988,0.4964430761757841,0.4942427397556006,3.7459532060679743,0
Spambase,789,2,3.0,0.5005984696746082,0.6711930781212931,0.5054461390386839,0.7443917226242573,0.0,0.5119485294117647,0.7443917226242573,0.5058364519642983,0.5027573529411765,0.4985028627198762,0.4987356133146833,-1.0,1.0,0.6413481993874274,0.5,0.7419623996504934,0.47936390499278136,0.4987356133146833,3.7341647641556976,0
Spambase,101,2,3.0,0.5,0.5187288655324613,0.5035654692566823,0.4286391173917541,0.0,0.5,0.4286391173917541,0.676162019467285,0.5892499472907442,0.5081021943771055,0.5172365870442248,-0.7523533671252716,1.0,0.6509786768971985,0.5129598882563778,0.8366358878209432,0.5135728453141796,0.5172365870442248,3.738461966832702,0
WineQuality,42,7,3.0,0.11330891330891332,0.15690094852783404,0.4962821358686764,0.41550777351085244,,0.1292865445310251,0.41550777351085244,0.14635887411182005,0.21536604308466042,0.49496952061939964,0.5144378090936261,,1.0,0.8348419075975706,0.16089652103187393,0.2157740128013082,0.49942723576548076,0.5144378090936261,1.5266440776959365,0
WineQuality,123,7,3.0,0.11622374141114769,0.14761995339563624,0.5119906052454986,0.08087530239718496,,0.1519291683858933,0.08087530239718496,0.17061840385692478,0.11189014373029842,0.4858212515437059,0.4946080537745372,,1.0,0.829962105191927,0.1892385533485544,0.19517748403241406,0.48212848144451403,0.4946080537745372,1.4982003055439672,0
WineQuality,456,7,3.0,0.16361416361416362,0.16150985573403412,0.49687852796715787,0.20176537925823168,,0.16543304590169008,0.20176537925823168,0.1758775377223163,0.12492837874095843,0.508226049297085,0.4931100810339869,,1.0,0.8388935505517867,0.20046455724644668,0.19052180341014888,0.5072241489175732,0.4931100810339869,1.5085557988878215,0
WineQuality,789,7,3.0,0.21575933644899162,0.17715784301248408,0.5052625286889637,0.34428346669824567,,0.1636762039854886,0.34428346669824567,0.18312370631888444,0.198632178422657,0.48771328517534807,0.4971390547726594,,1.0,0.8432577692815212,0.18570982188262336,0.21963113967096667,0.49680082105417495,0.4971390547726594,1.501125130358461,0
WineQuality,101,7,3.0,0.14511950414092803,0.16341914582892972,0.49063879819322964,0.0830441034663599,,0.10552527818544342,0.0830441034663599,0.17843016193957545,0.15830806388845126,0.4999447367382269,0.4926070161786018,,1.0,0.8271572127015276,0.16108789368304471,0.2179345171189837,0.5032338594621418,0.4926070161786018,1.5145476469468147,0
