Dataset,Seed,sampling_mode,marginal_ks,marginal_wasserstein,correlation_mae,tstr_acc,trtr_acc,tstr_minus_trtr,bal_acc,mia_rf
WisconsinOriginal,123,uniform,0.5405729192340071,0.23378272208476447,0.5999863379695827,0.8674812030075187,0.9748329156223893,-0.10735171261487053,0.8674812030075187,0.5320440861312379
WisconsinOriginal,123,gaussian,0.625452455996389,0.2717909300928049,0.609075429881976,0.9123329156223893,0.9748329156223893,-0.0625,0.9123329156223893,0.5359067251760384
WisconsinOriginal,456,uniform,0.5441655044165504,0.24920164779830628,0.6025794634309078,0.9155179615705932,0.9496658312447785,-0.03414786967418537,0.9155179615705932,0.49838759057046633
WisconsinOriginal,456,gaussian,0.6257554625755463,0.27191877706682505,0.5774102572524623,0.9218880534670009,0.9496658312447785,-0.02777777777777768,0.9218880534670009,0.5155219920400042
WisconsinOriginal,789,uniform,0.5413562075802972,0.2530670796735586,0.6133950881607539,0.8700918964076858,0.9539995822890559,-0.0839076858813701,0.8700918964076858,0.5197979385651598
WisconsinOriginal,789,gaussian,0.6398296078242969,0.2770030849817453,0.6066192737013806,0.8732769423558897,0.9539995822890559,-0.0807226399331662,0.8732769423558897,0.5081385855699562
WisconsinOriginal,101,uniform,0.5398922981558966,0.25419277516127897,0.6162166863874954,0.8530179615705932,0.9710735171261486,-0.11805555555555547,0.8530179615705932,0.505975099499949
WisconsinOriginal,101,gaussian,0.6371309855880986,0.27639009586912205,0.6241513974573423,0.8246658312447785,0.9710735171261486,-0.1464076858813701,0.8246658312447785,0.5085723032962547
Waveform,42,uniform,0.5205683982683983,0.2352601145457916,0.09624054129371316,0.6797000677334689,0.8735024553382441,-0.1938023876047752,0.6797000677334689,0.4960001904761905
Waveform,42,gaussian,0.6029554929347383,0.17955630921928312,0.09565739243289759,0.6401924053848108,0.8735024553382441,-0.2333100499534333,0.6401924053848108,0.4879392380952381
Waveform,123,uniform,0.5292163603691906,0.237885522791923,0.09451894361782849,0.6549614765896199,0.8703644907289815,-0.21540301413936158,0.6549614765896199,0.5113148571428572
Waveform,123,gaussian,0.6167936249285306,0.1829123224496631,0.09393873261037018,0.7144399288798576,0.8703644907289815,-0.15592456184912384,0.7144399288798576,0.4921291428571428
Waveform,456,uniform,0.5289220797778957,0.23768964119768468,0.09312108693191312,0.514234611802557,0.8691315299297265,-0.3548969181271695,0.514234611802557,0.499816380952381
Waveform,456,gaussian,0.6159276017637693,0.18217378453816274,0.09383651995721717,0.5091810600287867,0.8691315299297265,-0.3599504699009398,0.5091810600287867,0.4981777142857143
Waveform,789,uniform,0.5208118108306787,0.23549411695717287,0.0948496623099216,0.43436203539073753,0.8651945220557108,-0.43083248666497326,0.43436203539073753,0.5055392380952382
Waveform,789,gaussian,0.6033654251408969,0.17975720087251537,0.0952854605984958,0.6335090170180341,0.8651945220557108,-0.2316855050376767,0.6335090170180341,0.4923478095238095
Waveform,101,uniform,0.52325,0.23634834538277333,0.0942325162779269,0.5631826263652527,0.8645859791719585,-0.3014033528067057,0.5631826263652527,0.5045908571428571
Waveform,101,gaussian,0.6062214285714285,0.18022443832864943,0.09336117452766932,0.5508159766319533,0.8645859791719585,-0.3137700025400052,0.5508159766319533,0.4948367619047619
Vehicle,42,uniform,0.8079954954954954,0.3765009260687903,0.41167613723792645,0.25,0.4210136217948718,-0.17101362179487178,0.25,0.5352468610342626
Vehicle,42,gaussian,0.9010885885885885,0.3684371853007117,0.4110378978619643,0.24561298076923077,0.4210136217948718,-0.175400641025641,0.24561298076923077,0.49309028516705683
Vehicle,123,uniform,0.8243243243243243,0.38403813979380746,0.4160821249139146,0.27984775641025644,0.40905448717948717,-0.12920673076923073,0.27984775641025644,0.4798028835922537
Vehicle,123,gaussian,0.9270833333333334,0.3821648831669705,0.41922258759792885,0.3112179487179487,0.40905448717948717,-0.09783653846153845,0.3112179487179487,0.49414769099808475
Vehicle,456,uniform,0.835379698838805,0.39204340285139877,0.40904927269916597,0.3993589743589744,0.3810296474358974,0.018329326923076983,0.3993589743589744,0.5088615928921048
Vehicle,456,gaussian,0.9375938438438437,0.3852233639214053,0.4056784845882584,0.23076923076923078,0.3810296474358974,-0.15026041666666662,0.23076923076923078,0.5018687486699298
Vehicle,789,uniform,0.8177484273613715,0.37004709330074514,0.40903683558892984,0.25,0.39993990384615385,-0.14993990384615385,0.25,0.5164130666099169
Vehicle,789,gaussian,0.9216327685553575,0.35773422747799044,0.40871046416273826,0.2625,0.39993990384615385,-0.13743990384615384,0.2625,0.4804014151947223
Vehicle,101,uniform,0.793339341879951,0.37620477092300225,0.4092344079581516,0.3769230769230769,0.42858573717948717,-0.05166266025641025,0.3769230769230769,0.4980414715896999
Vehicle,101,gaussian,0.8799883322408704,0.36440870190441577,0.4110545200498477,0.3807692307692308,0.42858573717948717,-0.047816506410256365,0.3807692307692308,0.5023043466695041
Segment,42,uniform,0.49539192604208093,0.22536311410077126,0.2873249427409394,0.354978354978355,0.8023088023088023,-0.4473304473304473,0.354978354978355,0.5053552576743671
Segment,42,gaussian,0.5054411131810512,0.12937801656390105,0.28476784494389096,0.33333333333333337,0.8023088023088023,-0.46897546897546893,0.33333333333333337,0.4979001964159664
Segment,123,uniform,0.5018884131545265,0.22653295443459387,0.2896205562546678,0.3823953823953824,0.8268398268398267,-0.4444444444444443,0.3823953823953824,0.49513645153719366
Segment,123,gaussian,0.5063858271080591,0.13204494447470994,0.2918630952752331,0.35064935064935066,0.8268398268398267,-0.47619047619047605,0.35064935064935066,0.4895192761612057
Segment,456,uniform,0.4997251850509842,0.22776010514475578,0.28475445400029975,0.4343434343434343,0.8008658008658008,-0.3665223665223665,0.4343434343434343,0.5030680513055281
Segment,456,gaussian,0.5101934644579887,0.13239432770197748,0.28748244671662454,0.3766233766233766,0.8008658008658008,-0.42424242424242425,0.3766233766233766,0.4938460495046766
Segment,789,uniform,0.49245797124638674,0.22522146724312572,0.2835339419001694,0.3261183261183261,0.8152958152958153,-0.4891774891774892,0.3261183261183261,0.5078013102131842
Segment,789,gaussian,0.5039289871014253,0.12717631280365735,0.28445456834574256,0.3044733044733045,0.8152958152958153,-0.5108225108225108,0.3044733044733045,0.508193963667062
Segment,101,uniform,0.502442848484423,0.22861655901851924,0.28533346685949235,0.3896103896103896,0.8037518037518038,-0.4141414141414142,0.3896103896103896,0.49852888813927776
Segment,101,gaussian,0.5178895162530722,0.13554375919039538,0.28835707977707914,0.36219336219336223,0.8037518037518038,-0.44155844155844154,0.36219336219336223,0.48581405538733924
Spambase,42,uniform,0.9556009589190367,0.4886895223080355,0.06340106065087328,0.5,0.822205091714105,-0.32220509171410505,0.5,0.49789962265169274
Spambase,42,gaussian,0.982292688242345,0.48835080115904445,0.06308166799860504,0.5,0.822205091714105,-0.32220509171410505,0.5,0.4811427042245919
Spambase,123,uniform,0.9604210392263733,0.4822746718127403,0.06457026650067128,0.5260570401995923,0.8444462014196359,-0.31838916122004357,0.5260570401995923,0.5143215826140928
Spambase,123,gaussian,0.9879629970965882,0.48136181053167837,0.0643083343385984,0.5453585107878276,0.8444462014196359,-0.2990876906318083,0.5453585107878276,0.507015575175069
Spambase,456,uniform,0.9687207148305546,0.4891987295510219,0.06226393916075348,0.5,0.8037766181741514,-0.30377661817415136,0.5,0.4942427397556006
Spambase,456,gaussian,0.9936689549961861,0.488060684483891,0.06299681684707623,0.48805256869773,0.8037766181741514,-0.31572404947642135,0.48805256869773,0.49556604494897477
Spambase,789,uniform,0.965856304164972,0.4903424333763051,0.0632883592932647,0.5,0.8174711416824795,-0.3174711416824795,0.5,0.4987356133146833
Spambase,789,gaussian,0.9933434412130782,0.48988161896050525,0.06440717957418816,0.49356617647058826,0.8174711416824795,-0.3239049652118912,0.49356617647058826,0.4984903818908793
Spambase,101,uniform,0.955032042092114,0.49072209331959626,0.06367323870414866,0.5129598882563778,0.8255136956216178,-0.31255380736523997,0.5129598882563778,0.5172365870442248
Spambase,101,gaussian,0.9811951274564573,0.4897434044008502,0.06302723679923983,0.5009191176470589,0.8255136956216178,-0.32459457797455893,0.5009191176470589,0.48643142740205364
WineQuality,42,uniform,0.5693685299153081,0.290609024835155,0.2507320957158209,0.16089652103187393,0.4259967693552303,-0.2651002483233563,0.16089652103187393,0.5144378090936261
WineQuality,42,gaussian,0.7022485837664798,0.2828885506667032,0.2511086839204548,0.15873015873015875,0.4259967693552303,-0.2672666106250715,0.15873015873015875,0.49488431369231894
WineQuality,123,uniform,0.5047283923466023,0.25796575001519184,0.2627778440202575,0.1892385533485544,0.2657606250471033,-0.07652207169854888,0.1892385533485544,0.4946080537745372
WineQuality,123,gaussian,0.6082132075094467,0.24724348410461158,0.29229828293093624,0.16149880434794048,0.2657606250471033,-0.10426182069916282,0.16149880434794048,0.488570598816915
WineQuality,456,uniform,0.5737633593320575,0.29459022181803046,0.24958404173478413,0.20046455724644668,0.41032869092811086,-0.20986413368166418,0.20046455724644668,0.4931100810339869
WineQuality,456,gaussian,0.7261130468059505,0.2885990689049706,0.25563852010321314,0.0868678688852714,0.41032869092811086,-0.32346082204283944,0.0868678688852714,0.5031567728510769
WineQuality,789,uniform,0.5407575819994919,0.2685862752107892,0.2598998948540049,0.18570982188262336,0.4477580363726076,-0.2620482144899842,0.18570982188262336,0.4971390547726594
WineQuality,789,gaussian,0.6707916974968551,0.259009127688581,0.2698890309954462,0.21334973507532087,0.4477580363726076,-0.2344083012972867,0.21334973507532087,0.49449341070189984
WineQuality,101,uniform,0.5481306432820542,0.27659002291352763,0.26209344451555927,0.16108789368304471,0.40594529665414786,-0.24485740297110314,0.16108789368304471,0.4926070161786018
WineQuality,101,gaussian,0.6777615610692366,0.2652657358854647,0.27731930426986284,0.19181542468146828,0.40594529665414786,-0.21412987197267958,0.19181542468146828,0.4958014582734178
